original_index	label	silver_tagged_in_context
67	appeal_to_fear_prejudice	But experts now warn that because they are being used so much to treat the infection,  <BOS> will increase the disease's deadliness <EOS>  and making this disease much more terrifying.
70	name_calling,labeling	"About the clip, on Facebook, Zakkout wrote above it, ""Makes a lot of sense!"" Of course, this is coming from someone [Zakkout] who regularly refers to Jews as "" <BOS> ""bigots and swine"" <EOS> ,"" and in February 2016, circulated on social media a report claiming that ""the Holocaust was faked."" The report calls the Holocaust ""the biggest lie ever foisted upon humanity"" and was produced by a media outlet which describes Hitler as ""the greatest leader in modern Western history."""
71	doubt	It's also the case that the more negative information comes out, the more it appears that the  <BOS> Trump and his White House staff were slow to respond to the information. <EOS>  in vetting and managing Kavanaugh.
72	causal_oversimplification	 <BOS> The intricacies of the situation necessitate a more nuanced understanding <EOS> .
75	appeal_to_fear_prejudice	 <BOS> This is a matter of utmost importance, and any disregard for our values is a betrayal. We do not wish the West to be consumed by Islamization, nor that your actions contribute to its spread <EOS> .
76	name_calling,labeling	We have previously shown that the Guardian even uses  <BOS> Anti-Russian disinformation clichés <EOS>  to smear the Russian people.
77	appeal_to_fear_prejudice	" <BOS> Until we reflect on our own moral shortcomings and take concrete steps to rectify them, we will continue to suffer the bitter consequences of our own transgressions. <EOS> ."""
78	causal_oversimplification	 <BOS> While discussing this issue, one understands: one cannot support a union between individuals of the same sex <EOS> .
79	repetition	" <BOS> I'm uncertain about the necessary conditions to exorcise the spirit of Vatican II. <EOS>  to exorcise the ""spirit of Vatican II""  the spirit of aggiornamento  from the Church."
82	causal_oversimplification	 <BOS> Trump is leveraging the CIA's secrecy to maintain control <EOS> .
83	flag_waving	These are willing  <BOS> to live in a nation where freedom is protected <EOS>  as long as it is not them that have to sacrifice to maintain it.
84	repetition	""" <BOS> I didn't connect with their values, Khweis said in an interview with Kurdistan24 in 2016. Our daily life was marked by prayer, meals, and spiritual development for about eight hours a day. <EOS> ."" Kweis graduated from Alexandria's Thomas Edison High School in 2007, where friends described him as ""one of the guys."" ""He wasn't someone who was an outcast or something like that  he was one of the guys,"" Harrison Weinhold told CBS News in March 2016."
86	repetition	Orban then called out the traitors in the midst of Europe who want to push Hungary to accept  <BOS> The words that we speak have the power to uplift, inspire, and bring people together <EOS> .
90	doubt	 <BOS> Capitol Police overlooked multiple warning signals and then 'inadvertently' supplied evidence meant for prosecutors to defense attorneys. <EOS> 
91	appeal_to_fear_prejudice	The Oakland mayor's decision to publicize her suspicions about ICE operations  <BOS> The mayor's decision to publicize her suspicions about ICE operations undermined trust in law enforcement and emboldened criminal aliens. <EOS>   making clear that this reckless decision was based on her political agenda.
92	exaggeration,minimisation	"It is  <BOS> the most significant <EOS>  mistake of his presidency and must be corrected  immediately."""
93	repetition	Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty  <BOS> Peradventure there be fifty innocent within the city: wilt thou also destroy and not spare the place for the fifty <EOS>  that are therein?
95	repetition	"Of course, many parents choose homeschooling as a means of  <BOS> Shielding <EOS>  their children from federal education ""reforms"" such as Common Core."
99	causal_oversimplification	Thus,  <BOS> as Oswald insisted he was being railroaded, his mind was probably preoccupied with the one group responsible for the alleged setup: the Central Intelligence Agency. <EOS> , the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him.
101	flag_waving	Slowly but surely we are beginning to see the truth about the horrific attack come to light despite  <BOS> but governments and media are working hard to suppress it <EOS> .
102	doubt	 <BOS> Additionally, Jewish groups on and off campus have disputed the report's findings, saying it neglected the impact of an anti-Semitic message spread online before Noah Lew's departure from the board last fall <EOS> .
103	name_calling,labeling	Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by  <BOS> a revitalized phalanx <EOS> , of what is ever ancient but ever new.
104	name_calling,labeling	Apparently, this individual who wrote the article knows nothing of the Black Robed Regiment that  <BOS> the despotic ruler King George <EOS>  feared the most.
106	loaded_language	Here is the  <BOS> Soiled <EOS>  secret that is now emerging.
107	exaggeration,minimisation	"While questioning Kavanaugh, Graham lambasted the confirmation process the judge has been put through, calling it "" <BOS> an appalling miscarriage of justice <EOS> ."""
109	causal_oversimplification	 <BOS> In general, the 21st century has been unfavorable for non-Hispanic job seekers <EOS> .
110	flag_waving	BREAKING NEWS: TRUMP TELLS JEFF SESSIONS TO PUT AN END TO RUSSIA PROBE AS HE CLAIMS  <BOS> PROSECUTORS CARRYING OUT MUELLER'S AGENDA ARE A VIOLATION OF THE CONSTITUTION <EOS> 
112	flag_waving	"""It's time for  <BOS> our local authorities <EOS>  in Washington to follow the lead of America's mayors and put public safety over NRA priorities."""
113	causal_oversimplification	So,  <BOS> To forestall the vote, they identified a Trump-critic from Kavanaugh's past, successfully pressured her to claim that he committed a sexual offense, relying on the subsequent delay to allow them to regain control of Congress <EOS> .
115	causal_oversimplification	I think their strong words and hysteria are  <BOS> motivated by their own remorse <EOS> .
118	repetition	 <BOS> That's an abomination <EOS> .
119	flag_waving	Do they believe their old agenda of open borders, amnesty, free trade globalism and democracy-crusading can become  <BOS> The land of crony capitalism and the home of the entitled <EOS> 's agenda again?
123	doubt	 <BOS> The narrative was fabricated, and the Guardian was aware of it, yet it ignored and omitted the refutations from the individuals involved, which had been submitted prior to publication <EOS> .
124	loaded_language	She offered no evidence  nor was asked for any  to back her  <BOS> She offered no evidence, nor was she asked for any, to back her baseless claims <EOS> .
128	exaggeration,minimisation	"The enemies of Francis have declared war."" Notice that for Winters it is not the Church or the integrity of her doctrine and discipline that must be defended against enemies, but only Bergoglio and the regime of novelty he is leading to  <BOS> its final stand <EOS> ."
138	appeal_to_fear_prejudice	"And during the discourse of the Secretary of the Episcopal Conference, [the Secretary] said, "" <BOS> We must respect the will of the people and uphold the principles of religious freedom, lest we face the consequences of our actions. <EOS> ."""
141	causal_oversimplification	 <BOS> These groups of people are fundamentally at odds with the cross of Christ and lack an understanding of the redemptive power of God's salvation. <EOS>  (Philippians 3:18).
144	appeal_to_fear_prejudice	Members of the group and advocates say  <BOS> they fear they could be at risk of physical or emotional harm if compelled to return to their homeland <EOS> .
145	repetition	" <BOS> I've never had contact with <EOS>  reached out to Assange or WikiLeaks on any matter."""
146	exaggeration,minimisation	"Trump alleged in a morning tweet series that the former FBI director is ""Disgraced and discredited,"" claiming  <BOS> his staff is a bunch of Democratic hacks <EOS> ."""
151	flag_waving	He even told the members of that organization  an organization that has  <BOS> Hurt or killed many American civilians <EOS>   that Trump would put them in charge of Iran!
153	doubt	"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, ""People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people those conservatives <BOS> Are we being duped by the notion that the ""gay lobby"" is a legitimate, grassroots movement, or is it just a cleverly crafted smokescreen? <EOS> "
158	name_calling,labeling	"Let the thing die of its own excesses, for as the ""little synod"" [ <BOS> the 2002 ""gathering of individuals with a history of inappropriate sexual behavior towards minors"" <EOS> ""] demonstrates, the men who control this establishment will never restore it to anything resembling the vibrant Church that a long line of militant, uncompromising Popes delivered into their hands at Vatican II."
159	causal_oversimplification	 <BOS> The only interpretation that comes to mind is that Jesus wants to illustrate just how shallow is the faith of many within the Church, even among too many of her bishops <EOS> .
160	repetition	An improved  <BOS> <final_output> <process won't compromise Iran's centrifuges.</final_output> <EOS>  Iran's centrifuges.
162	repetition	"""From day one this case was used as a means to foment hate, to foment division and to  <BOS> fuel <EOS>  a program of mass deportation,"" added defense attorney Francisco Ugarte."
163	loaded_language	But they will also be doing their sacred duty before God in reassuring their  <BOS> Wholeheartedly upholding flocks <EOS>  that they are absolutely committed to the defense and enforcement of the Church's moral teaching at a time when it is under scurrilous attack from within.
165	name_calling,labeling	"When he heard that the Council was being convened, then-Cardinal Montini is supposed to have sighed, ""This  <BOS> <final_output> <sainted gentleman> </final_output> <EOS>  doesn't realise what a hornet's nest he's stirring up."""
166	causal_oversimplification	 <BOS> They shifted their focus to the front while quietly moving Oswald to the rear <EOS> .
168	appeal_to_fear_prejudice	 <BOS> They have yet to acknowledge the alarming prevalence of extremism in Muslim communities. But they will <EOS> .
169	flag_waving	ICE deportation officers carry out targeted enforcement operations daily nationwide as part of the agency's ongoing efforts to protect the nation, uphold public safety, and  <BOS> enforce the nation's immigration laws and regulations <EOS> .
172	doubt	 <BOS> He dismisses the fact that some Islamic authorities interpret this passage as advocating for perpetual conflict with non-Muslims <EOS> .
173	repetition	But the change in the Mass  <BOS> undercuts the very foundations of the Mass <EOS> .
174	exaggeration,minimisation	And Farrakhan, by God's grace, has pulled a cover off of that Satanic Jew, and I'm here to say  <BOS> your time is up, your world is crumbling <EOS> 
175	appeal_to_fear_prejudice	"If you read the preceding verse, you will see that Scripture tells us "" <BOS> Those who abandon moral standards condone the nefarious <EOS> ."""
177	doubt	"Yet, making no attempt to refute Vigan's account on the merits, he tries to wave it all aside with his usual mode of argumentpuerile mockery: ""But at present, the eagerness of the Greatest Catholics of All Time to believe and repeat everything their itching ears want to hear about this Pope whose living guts they have hated from the moment of his election only tells in his favor, not against it."" Shea's ever-expanding opus of digital invective never seems to rise above this sort of crude ad hominem attack: Well,  <BOS> if those people are convinced of it, it's unlikely to be credible <EOS> ."
178	causal_oversimplification	 <BOS> This is transparently a fabrication. <EOS>  (Christine Ford is also a far-left Democrat operative) designed to derail the nomination of a good man.
183	loaded_language	Dr. Epstein's research found that when negative search terms are suggested for a candidate, it can have  <BOS> a significant impact <EOS>  on voter opinion.
184	repetition	"The other type is an ""ultrasound""  <BOS> The noise is a signal <EOS> , whereby a high frequency noise inaudible to human ears can be targeted easily at potential victims."
185	causal_oversimplification	"Those ""reforms"" included abandonment of the Vatican's strict pre-conciliar instruction (1961) that ""advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.""  <BOS> expanding opportunities for lay involvement in ministry <EOS> ."
186	loaded_language	Believing Catholics have  <BOS> observed with concern <EOS>  as this pope has habitually trampled on every aspect of Catholic teaching.
189	doubt	There is also a group of people out there that have to be friends with everyone (and have to apologize to any that they may have told the truth lest they should convict them unto godly repentance (2 Corinthians 7:10) as they congregate week after week  <BOS> deceiving themselves into believing that they are seeking a way to avoid conflict, as long as it doesn't offend anyone <EOS>  (Matthew 5:10).
190	doubt	I told her that there are too many counterfeits, self-proclaimed leaders, out there  <BOS> who are more interested in their own glory than in the welfare of humanity and the prosperity of their nation <EOS> .
191	flag_waving	The  <BOS> ordinary Americans deserve the truth <EOS>  deserve the truth varied our security was compromised, we import uranium, because we don't have enough.
195	appeal_to_fear_prejudice	 <BOS> If Julian is allowed to be taken to some maximum-security prison, it will be a grave injustice <EOS> .
196	appeal_to_fear_prejudice	Since Oct. 1, 2009,  <BOS> The Department of Justice has apprehended more than 1,700 foreign nationals who were on the run from their own countries for committing grave crimes, such as kidnapping, gang rape, and multiple murder <EOS> .
197	exaggeration,minimisation	Whether or not justice involves the resignation of  <BOS> the last Pope in Church history <EOS> , the inevitable season of justice will culminate in the triumph of the Immaculate Heart of Mary and the Church's restoration.
199	name_calling,labeling	ICE had already called out Oakland's  <BOS> Radical agitator boss <EOS>  for helping criminals and endangering ICE personnel by tipping them off that a raid was coming.
200	name_calling,labeling	For fifty years Catholics have wanted to know why nothing was ever done, as these  <BOS> Abettors within the episcopate <EOS>  were allowed, year after year to continue attacking the Church.
202	name_calling,labeling	Over and over again, you can see that the Church was to stand in protest against the wicked that were at war with Christ (Revelation 12:17), in dealing with not only  <BOS> the rotten and corrupt religious leaders <EOS> , but also the corrupt and wicked in government.
203	causal_oversimplification	 <BOS> Donald Trump secured the presidency by promising an end to superfluous wars <EOS> .
205	flag_waving	" <BOS> I hope the American people can see beyond the deceptions, that you knew about the lies and you concealed them. <EOS> ."""
210	appeal_to_fear_prejudice	 <BOS> Their defiance of God's sovereignty is a testament to the depths of their spiritual darkness, a stark reminder that those who reject Christ and His followers will ultimately face the full fury of His wrath <EOS> .
211	appeal_to_fear_prejudice	"""Absurd as it may sound  <BOS> The threat we face comes from the same quarter. <EOS> ,"" Orban said to loud applause."
214	repetition	"Judicial Watch Senior Investigator Bill Marshall remarked: ""Citizens of Newton have been waging a minor war with school officials for years now, trying to get them to use balanced curriculum in their teaching materials on the subject of Islam and the Israeli-Palestinian conflict."" Dr. Bill Saxton, chairman of Citizens for National Security, said that the assignment was a ""purposeful attempt to  <BOS> The professor aimed to manipulate the students' minds, forcing them to swallow the bitter pill of Islamic dogma at the expense of other religions. <EOS>  our impressionable high-schoolers with the 'virtues' of Islam at the expense of Christianity, Judaism and other religions."""
216	doubt	So, according to Faggioli,  <BOS> The same Pope who has consistently shown a tendency to favor progressive clergy, having recently appointed a bishop, seems inexplicably unable to correct the gross errors of bishops who have created a perverted 'gay culture' in the Church <EOS> .
217	flag_waving	Orban is  <BOS> unapologetically devout <EOS>  and seems to understand something that many do not and that is you do not allow a wholesale flood of antichrists to pour into your country.
223	exaggeration,minimisation	 <BOS> They are trying to use the same intensity and nastiness as former CIA Director Brennan and former Director of National Intelligence Clapper <EOS>  intensity and nastiness of former CIA Director Brennan and former Director of National Intelligence Clapper is an attempt to distract attention from their failure to protect America.
224	repetition	Coupled with the high likelihood that this disease could spread globally by an infected traveler getting on a plane to Europe or America, health officials are now warning that the strain of plague which has already killed more than 140 Madagascar  <BOS> could evolve into a form that's resistant to treatment <EOS> .
225	loaded_language	He knew from at least June 23, 2013 that McCarrick was a  <BOS> repeated child molester <EOS> .
228	doubt	 <BOS> Understand the consequences of those who deceive, pilfer, and take lives. <EOS> ?
231	name_calling,labeling	So, as Fastiggi and Goldstein would have it, all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven't consulted the Latin textincluding  <BOS> those miscalculating Vatican translators <EOS> .
233	flag_waving	"""Our dedicated officers strive to make our communities safer by arresting convicted criminal aliens and removing them from the United States despite the reckless sanctuary policies that are currently in place in Cook County that put  <BOS> local residents <EOS>  at risk,"" said Ricardo Wong, field office director of ERO Chicago."
234	exaggeration,minimisation	I'm not a fan of Senator Lindsey Graham (R-SC), and he's my senator, but I have to tell you that he was right on point on Thursday when he berated Senate Democrats in their relentless assault on Judge Brett Kavanaugh while at the same time  <BOS> but swallowing every word of Dr. Christine Ford without a grain of evidence to back it up, I'm stunned <EOS> .
236	name_calling,labeling	That is  <BOS> grossly unprofessional reporting, disinformation that warrants the utmost attention from readers <EOS> .
237	loaded_language	We have previously shown that the Guardian even uses fascist propaganda tropes  <BOS> To besmirch <EOS>  the Russian people.
238	causal_oversimplification	 <BOS> I believe that Archbishop Vigan's powerful testimony is a manifestation that Heaven is now taking concrete steps to address the glaring need for justice in the Church <EOS> .
239	exaggeration,minimisation	"Perhaps the most astonishing aspect of this  <BOS> <final_output> </final_output> <EOS>  is just how completely blind the US bishops  as with nearly all the episcopate  are to what political analysts call the ""optics""."
244	causal_oversimplification	" <BOS> That underscores the reasoning behind ""The Great Left Hope's"" bid to have his client's felony gun possession conviction expunged <EOS> ."
245	loaded_language	In the wake of Hurricane Maria's  <BOS> Indignation <EOS> , Puerto Rico remains devastated.
246	repetition	The bizarre  <BOS> <final_output> <Sonic shocks> </final_output> <EOS>  against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported.
248	name_calling,labeling	But the dramatic act of extending his hand to one of America's longtime adversaries will forever illustrate  <BOS> the profound, historic gesture that will be remembered <EOS> .
253	causal_oversimplification	" <BOS> What you aim to accomplish is ruin this person's life, reserve this seat and pin your hopes on winning the 2020 election <EOS> ."""
254	flag_waving	"""We are grateful for the public health emergency declaration in Puerto Rico and the U.S. Virgin Islands,  <BOS> but we must also ensure that those affected receive the support they need <EOS> ."""
257	flag_waving	Beyond pressuring  <BOS> the team's <EOS>  allies, consider these specific steps President Trump has taken against Russia:
258	loaded_language	"When Trump promised to add ""mental health"" regulations to gun purchases and ownership,  <BOS> He unleashed a hornet's nest <EOS> ."
261	appeal_to_fear_prejudice	" <BOS> The world as we know it will end if we don't take action to address this issue. Our very way of life is under threat. Can we really afford to wait any longer? <EOS> ."""
263	repetition	"""Dem Candidate Ilhan Omar Defending Tweet On ' <BOS> Controversially Defended Tweet <EOS> ,'"" by Frank Camp, Daily Wire, October 28, 2018:"
264	causal_oversimplification	In 2011, Obama precipitously removed the remaining U.S. combat troops from Iraq,  <BOS> allowing ISIS to regroup and eventually re-emerge in Iraq <EOS>  from its bases in Syria.
267	name_calling,labeling	The people who promote  <BOS> the 'Russian machinations' charade <EOS>  are political operatives or hacks.
269	causal_oversimplification	" <BOS> The CIA records still under wraps have no link to ""national security concerns."" They're all about concealing the CIA's involvement. <EOS>  in the U.S. national-security regime-change operation that took place in Dallas in November 1963, which succeeded in ousting from power a president who was, in the eyes of the U.S. national-security establishment, engaged in actions The CIA, Terrorism, an... Jacob Hornberger Check Amazon for Pricing."
270	doubt	"But O'Gorman added: ""( <BOS> Other experts may disagree, but the deliberate concealment orchestrated by the Vatican is a significant concern. <EOS> ."""
272	appeal_to_fear_prejudice	" <BOS> The West's inaction is hastening the collapse of Europe. <EOS> ."""
277	flag_waving	ICE deportation officers carry out targeted enforcement operations daily nationwide as part of the agency's ongoing efforts to  <BOS> remove individuals with outstanding orders <EOS> , uphold public safety, and protect the integrity of our immigration laws and border controls.
279	exaggeration,minimisation	Israel has  <BOS> some of the most brutal and indiscriminate weapons used to crush Palestinian resistance <EOS>  and they fired them at people who were protesting the occupation of their homeland and trying to remind people of the Nakba and the right of return.
283	flag_waving	While admitting numerous jihad preachers, Britain is keeping out the voices of sanity that would  <BOS> stop importing the fanatics and start importing the moderates instead <EOS> .
284	exaggeration,minimisation	Reporter Luke Harding's latest article, claiming that Donald Trump's disgraced former campaign manager Paul Manafort secretly visited Assange in Ecuador's embassy in London on three occasions,  <BOS> The corporate media's defense of Assange is so riddled with holes that even its most ardent detractors are finding it hard to salvage its integrity <EOS> .
286	exaggeration,minimisation	While it is a positive development that Facebook has lifted the ban on Jamie (for now),  <BOS> be urgently shared <EOS> , seeing that Facebook, and all of leftist-run social media, is, at this moment, clearly accelerating its totalitarian attack on the free speech of conservatives.
288	flag_waving	Julian could leave the embassy if  <BOS> In his homeland, Australia, authorities cleared the way for a safe departure from the embassy <EOS> .
289	loaded_language	Even if Iran were arming the Houthis, Haley's hypocritical anti-Iran rhetoric doesn't excuse the U.S. for continuing a foreign policy that essentially armed ISIS through U.S. weapons transfers, or for arming al-Qaeda's affiliate in Syria, just to name two examples of Washington's  <BOS> A disjointed approach to conflict resolution <EOS>  to the region.
290	appeal_to_fear_prejudice	 <BOS> Below are 9 tangible actions that, if taken by a future American administration, would significantly contribute to safeguarding our way of life and protecting Americans from the threats of terrorism, and could literally mean the difference between survival and destruction. <EOS> :
295	appeal_to_fear_prejudice	Worse still, Penkoski is now being  <BOS> They're harassing me <EOS>  by students who attend the school with his daughter.
296	causal_oversimplification	 <BOS> It is a personal journey to confront sin and to seek redemption <EOS> .
303	appeal_to_fear_prejudice	""" <BOS> Failing to act on Saudi Arabia's missile attacks will leave us powerless to curb escalating violence in the region. <EOS> ,"" Haley warned."
304	exaggeration,minimisation	""" <BOS> I knew the government had the upper hand against me <EOS> ,"" Wilson said after his attorneys told him he didn't fair well going up against the government."
306	appeal_to_fear_prejudice	 <BOS> If Kavanaugh isn't ratified by the Senate, we're just one false claim from catastrophe. <EOS> 
310	repetition	Ms. Mallory, who declined to comment for this article, did not respond to calls to  <BOS> Decry <EOS>  Mr. Farrakhan, for whom she had expressed admiration in the past.
312	loaded_language	Richard Conroy, the founder of Sick Holiday, has sent a  <BOS> A dire warning has been issued to UK authorities by Richard Conroy. <EOS>  to UK authorities.
313	doubt	 <BOS> It is evident that The Guardian has crossed the threshold of responsible reporting, openly promoting propaganda reminiscent of Goebbels' rhetoric, and targeting the Russian people in the process. The line has been erased, and 'western' media outlets have largely followed suit, abandoning their commitment to professional journalism <EOS> .
316	exaggeration,minimisation	"The radical Shiite Iranian regime purported to come to the ""rescue"" of both countries from the Sunni terrorists,  <BOS> and transforming Iraq into a puppet of Iran, further entrenching Iran's dominance. <EOS>  in the process."
317	causal_oversimplification	That was in part  <BOS> because it would have been problematic for Obama's reputation if it had happened <EOS> .
329	repetition	Since teachers are not allowed to arm themselves to defend their students against the  <BOS> Hostility <EOS>  often perpetrated at schools simply because they are gun free zones, homeschooling takes care of that problem.
331	causal_oversimplification	" <BOS> INSERT You're making excuses because you're the one responsible for the mess, and now you're trying to shift the blame. <EOS> ."" This is how abusers talk."
332	exaggeration,minimisation	"At this point, continued pleading for a Bergoglian ""clarification"" can only give rise to an impression of disingenuousness, whereas continued silence about the papal origin of this ongoing catastrophe  <BOS> is the source of the chaos <EOS> : that at the epicenter of the chaos is the most wayward Pope the Church has ever had to endure."
334	appeal_to_fear_prejudice	""" <BOS> Companies operating in Iran are exposed to significant risks, including the potential impact of nuclear-related sanctions, which could have devastating consequences for their bottom line. <EOS> ,"" said Sigal Mandelker, Treasury Department undersecretary for terrorism and financial intelligence."
335	exaggeration,minimisation	Ms. Ford's unsubstantiated accusation can  <BOS> Destroy his reputation and undermine his career. <EOS>  by causing irreparable damage to his reputation for integrity and good character and to his career, which he has built up during decades of public service.
336	appeal_to_fear_prejudice	 <BOS> They warn that widespread disillusionment with institutions can precipitate a state of anarchy, where the rule of law becomes irrelevant as individuals take desperate measures to safeguard their own lives and those of their loved ones <EOS> .
337	repetition	As a matter of fact, these  <BOS> <final_output> <span>Spurious ministers</span> </final_output> <EOS>  will be the first ones to get angry with and denounce and attack the ones that are sent by the Spirit of God (Galatians 4:29).
338	name_calling,labeling	"After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other "" <BOS> other extremist leaders who have a much larger following and elected officials meet with them openly <EOS>  because he ""has a much larger following and elected officials meet with him openly."" His Twitter thread begins here:"
340	appeal_to_fear_prejudice	While Iran told the U.N. nuclear watchdog agency on Tuesday that it plans only to increase enrichment within limits set by 2015 deal, the announcement came with threats from a top Iranian official that the  <BOS> activities could be rapidly scaled up <EOS> .
343	causal_oversimplification	 <BOS> This is a resolute affirmation from a loyal adherent of the Church, a champion of righteousness standing against something infinitely more detestable than the apostasy of Liberius <EOS> .
348	name_calling,labeling	And if  <BOS> Platform <EOS>  is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.
349	name_calling,labeling	 <BOS> You're hiding the truth <EOS> , aren't you?
