	label	tagged_in_context	span_bounds	all_tokens	all_pos_tokens	all_ner_tokens	snippet_token_count	total_token_count	snippet_ratio	snippet_len	full_len	context_len	silver_tagged_in_context
10	name_calling,labeling	"His account was suspended for violating Twitter's rules relating to ""<BOS> hateful conduct <EOS>."" It is ""hateful conduct"", apparently, to reference what Islamic texts themselves say."	(12, 13)	"['His', 'account', 'was', 'suspended', 'for', 'violating', 'Twitter', ""'s"", 'rules', 'relating', 'to', '``', 'hateful', 'conduct', '.', ""''"", 'It', 'is', '``', 'hateful', 'conduct', ""''"", ',', 'apparently', ',', 'to', 'reference', 'what', 'Islamic', 'texts', 'themselves', 'say', '.']"	"['PRP$', 'NN', 'VBD', 'VBN', 'IN', 'VBG', 'NNP', 'POS', 'NNS', 'VBG', 'TO', '``', 'JJ', 'NN', '.', ""''"", 'PRP', 'VBZ', '``', 'JJ', 'NN', ""''"", ',', 'RB', ',', 'TO', 'VB', 'WP', 'NNP', 'NN', 'PRP', 'VBP', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O']	2	33	0.06060606060606061	2	33	31	"His account was suspended for violating Twitter's rules relating to "" <BOS> Bigoted actions <EOS> ."" It is ""hateful conduct"", apparently, to reference what Islamic texts themselves say."
11	not_propaganda	Ironically, even in doing this he is <BOS> likely to fail to <EOS> satisfy Muslims, or anyone.	(8, 11)	['Ironically', ',', 'even', 'in', 'doing', 'this', 'he', 'is', 'likely', 'to', 'fail', 'to', 'satisfy', 'Muslims', ',', 'or', 'anyone', '.']	['RB', ',', 'RB', 'IN', 'VBG', 'DT', 'PRP', 'VBZ', 'JJ', 'TO', 'VB', 'TO', 'VB', 'NNP', ',', 'CC', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O']	4	18	0.2222222222222222	4	18	14	
12	appeal_to_fear_prejudice	A couple of seemingly unrelated events this past week <BOS> point to Iran's positioning itself for more aggressive military actions that could place U.S. forces in harm's way <EOS>.	(9, 28)	"['A', 'couple', 'of', 'seemingly', 'unrelated', 'events', 'this', 'past', 'week', 'point', 'to', 'Iran', ""'s"", 'positioning', 'itself', 'for', 'more', 'aggressive', 'military', 'actions', 'that', 'could', 'place', 'U.S.', 'forces', 'in', 'harm', ""'s"", 'way', '.']"	['DT', 'NN', 'IN', 'RB', 'JJ', 'NNS', 'DT', 'JJ', 'NN', 'NN', 'TO', 'NNP', 'POS', 'VBG', 'PRP', 'IN', 'RBR', 'JJ', 'JJ', 'NNS', 'WDT', 'MD', 'VB', 'NNP', 'NNS', 'IN', 'NN', 'POS', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'DATE', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O']	20	30	0.6666666666666666	20	30	10	A couple of seemingly unrelated events this past week  <BOS> have some bearing on Iran's military posturing, which seems to be escalating rapidly <EOS> .
13	not_propaganda	During the term of the Assassination <BOS> Records Review Board in the 1990s, the <EOS> CIA decided to keep these particular records secret for another 25 years.	(6, 13)	['During', 'the', 'term', 'of', 'the', 'Assassination', 'Records', 'Review', 'Board', 'in', 'the', '1990s', ',', 'the', 'CIA', 'decided', 'to', 'keep', 'these', 'particular', 'records', 'secret', 'for', 'another', '25', 'years', '.']	['IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'DT', 'CD', ',', 'DT', 'NNP', 'VBD', 'TO', 'VB', 'DT', 'JJ', 'NNS', 'JJ', 'IN', 'DT', 'CD', 'NNS', '.']	['O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'DATE', 'DATE', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'DATE', 'O']	8	27	0.2962962962962963	8	27	19	
14	repetition	Trump has expelled <BOS> more <EOS> Russian diplomats and sanctioned more Russian oligarchs than [Obama] has.	(3, 3)	['Trump', 'has', 'expelled', 'more', 'Russian', 'diplomats', 'and', 'sanctioned', 'more', 'Russian', 'oligarchs', 'than', '[', 'Obama', ']', 'has', '.']	['NNP', 'VBZ', 'VBN', 'JJR', 'JJ', 'NNS', 'CC', 'VBD', 'JJR', 'JJ', 'NN', 'IN', 'JJ', 'NNP', 'NN', 'VBZ', '.']	['ORG', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O']	1	17	0.058823529411764705	1	17	16	Trump has expelled  <BOS> Expelled <EOS>  Russian diplomats and sanctioned more Russian oligarchs than [Obama] has.
15	not_propaganda	"President Trump ordered that the relevant documents be released by the Office of the Director of National Intelligence (ODNI) and the Justice Department ""[a]t the request of a number of committees of Congress, and for <BOS> reasons of transparency,"" read a statement issued by White House <EOS> Press Secretary Sarah Huckabee Sanders."	(42, 53)	"['President', 'Trump', 'ordered', 'that', 'the', 'relevant', 'documents', 'be', 'released', 'by', 'the', 'Office', 'of', 'the', 'Director', 'of', 'National', 'Intelligence', '(', 'ODNI', ')', 'and', 'the', 'Justice', 'Department', '``', '[', 'a', ']', 't', 'the', 'request', 'of', 'a', 'number', 'of', 'committees', 'of', 'Congress', ',', 'and', 'for', 'reasons', 'of', 'transparency', ',', ""''"", 'read', 'a', 'statement', 'issued', 'by', 'White', 'House', 'Press', 'Secretary', 'Sarah', 'Huckabee', 'Sanders', '.']"	"['NNP', 'NNP', 'VBD', 'IN', 'DT', 'JJ', 'NNS', 'VB', 'VBN', 'IN', 'DT', 'NNP', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'NNP', '(', 'NNP', ')', 'CC', 'DT', 'NNP', 'NNP', '``', 'VBD', 'DT', 'JJ', 'NN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNS', 'IN', 'NNP', ',', 'CC', 'IN', 'NNS', 'IN', 'NN', ',', ""''"", 'VBD', 'DT', 'NN', 'VBN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.']"	['O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'PERSON', 'PERSON', 'PERSON']	12	60	0.2	12	60	48	
16	not_propaganda	The newspaper added that Manafort's visit was <BOS> not <EOS> entered into the embassy's log book and cited a source as saying Manafort left after 40 minutes.	(8, 8)	"['The', 'newspaper', 'added', 'that', 'Manafort', ""'s"", 'visit', 'was', 'not', 'entered', 'into', 'the', 'embassy', ""'s"", 'log', 'book', 'and', 'cited', 'a', 'source', 'as', 'saying', 'Manafort', 'left', 'after', '40', 'minutes', '.']"	['DT', 'NN', 'VBD', 'IN', 'NNP', 'POS', 'NN', 'VBD', 'RB', 'VBN', 'IN', 'DT', 'NN', 'POS', 'NN', 'NN', 'CC', 'VBD', 'DT', 'NN', 'IN', 'VBG', 'NNP', 'VBD', 'IN', 'CD', 'NNS', '.']	['O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'TIME', 'TIME', 'O']	1	28	0.03571428571428571	1	28	27	
17	not_propaganda	"""We are now doing a <BOS> recount, so <EOS> we want to make sure you let your vote be counted,"" Dixon quoted from the voicemail."	(6, 8)	"['``', 'We', 'are', 'now', 'doing', 'a', 'recount', ',', 'so', 'we', 'want', 'to', 'make', 'sure', 'you', 'let', 'your', 'vote', 'be', 'counted', ',', ""''"", 'Dixon', 'quoted', 'from', 'the', 'voicemail', '.']"	"['``', 'PRP', 'VBP', 'RB', 'VBG', 'DT', 'NN', ',', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'JJ', 'PRP', 'VB', 'PRP$', 'NN', 'VB', 'VBN', ',', ""''"", 'NNP', 'VBD', 'IN', 'DT', 'NN', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O']	3	28	0.10714285714285714	3	28	25	
18	doubt	<BOS> But who authorized this strategic commitment <EOS>, of indefinite duration, in Syria, when near two decades in Afghanistan have failed to secure that nation against the return of al-Qaida and ISIS?	(0, 5)	['But', 'who', 'authorized', 'this', 'strategic', 'commitment', ',', 'of', 'indefinite', 'duration', ',', 'in', 'Syria', ',', 'when', 'near', 'two', 'decades', 'in', 'Afghanistan', 'have', 'failed', 'to', 'secure', 'that', 'nation', 'against', 'the', 'return', 'of', 'al-Qaida', 'and', 'ISIS', '?']	['CC', 'WP', 'VBD', 'DT', 'JJ', 'NN', ',', 'IN', 'JJ', 'NN', ',', 'IN', 'NNP', ',', 'WRB', 'IN', 'CD', 'NNS', 'IN', 'NNP', 'VBP', 'VBN', 'TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'JJ', 'CC', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'O']	6	34	0.17647058823529413	6	34	28	 <BOS> But who gave the green light for this open-ended commitment in Syria? <EOS> , of indefinite duration, in Syria, when near two decades in Afghanistan have failed to secure that nation against the return of al-Qaida and ISIS?
19	causal_oversimplification	Outside of specialists and seekers, <BOS> the only reason why there is general interest in the Qur'an among non-Muslims is to seek an answer to the question of whether or not it justifies and encourages Islamic terrorism <EOS>.	(6, 36)	"['Outside', 'of', 'specialists', 'and', 'seekers', ',', 'the', 'only', 'reason', 'why', 'there', 'is', 'general', 'interest', 'in', 'the', ""Qur'an"", 'among', 'non-Muslims', 'is', 'to', 'seek', 'an', 'answer', 'to', 'the', 'question', 'of', 'whether', 'or', 'not', 'it', 'justifies', 'and', 'encourages', 'Islamic', 'terrorism', '.']"	['IN', 'IN', 'NNS', 'CC', 'NNS', ',', 'DT', 'JJ', 'NN', 'WRB', 'EX', 'VBZ', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'IN', 'JJ', 'VBZ', 'TO', 'VB', 'DT', 'NN', 'TO', 'DT', 'NN', 'IN', 'IN', 'CC', 'RB', 'PRP', 'VBZ', 'CC', 'VBZ', 'NNP', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'NORP', 'NORP', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP']	31	38	0.8157894736842105	31	38	7	Outside of specialists and seekers,  <BOS> The widespread interest in the Qur'an among non-Muslims can be attributed to its perceived potential to justify and promote Islamic radicalism <EOS> .
20	doubt	<BOS> We must ask ourselves why this hasn't happened <EOS>.	(0, 8)	"['We', 'must', 'ask', 'ourselves', 'why', 'this', 'has', ""n't"", 'happened', '.']"	['PRP', 'MD', 'VB', 'PRP', 'WRB', 'DT', 'VBZ', 'RB', 'VBN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	9	10	0.9	9	10	1	 <BOS> We must still be prepared for this outcome <EOS> .
21	loaded_language	We've caught on to his <BOS> sneaky <EOS> synodal tactics.	(6, 6)	"['We', ""'ve"", 'caught', 'on', 'to', 'his', 'sneaky', 'synodal', 'tactics', '.']"	['PRP', 'VBP', 'VBN', 'IN', 'TO', 'PRP$', 'JJ', 'JJ', 'NNS', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	10	0.1	1	10	9	We've caught on to his  <BOS> Deceptive <EOS>  synodal tactics.
22	flag_waving	"This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is ""instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy."" Students are made to write out the Shahada, which states: ""There is no god but Allah, and Muhammad is the messenger of Allah.""This is exactly what I warned about in my book, Stop the Islamization of <BOS> America <EOS>: A Practical Guide to the Resistance , in the chapter ""The Mosqueing of the Public Schools.""In order to convert to Islam, one says the shahada."	(88, 88)	"['This', 'is', 'an', 'outrage', ',', 'but', 'it', 'is', 'common', 'nationwide', ':', 'the', 'Daily', 'Caller', 'News', 'Foundation', 'reports', 'that', 'Mountain', 'Ridge', 'Middle', 'School', 'in', 'West', 'Virginia', 'is', '``', 'instructing', 'junior', 'high', 'students', 'to', 'write', 'the', 'Islamic', 'profession', 'of', 'faith', 'ostensibly', 'to', 'practice', 'calligraphy', '.', ""''"", 'Students', 'are', 'made', 'to', 'write', 'out', 'the', 'Shahada', ',', 'which', 'states', ':', '``', 'There', 'is', 'no', 'god', 'but', 'Allah', ',', 'and', 'Muhammad', 'is', 'the', 'messenger', 'of', 'Allah', '.', '``', 'This', 'is', 'exactly', 'what', 'I', 'warned', 'about', 'in', 'my', 'book', ',', 'Stop', 'the', 'Islamization', 'of', 'America', ':', 'A', 'Practical', 'Guide', 'to', 'the', 'Resistance', ',', 'in', 'the', 'chapter', '``', 'The', 'Mosqueing', 'of', 'the', 'Public', 'Schools', '.', '``', 'In', 'order', 'to', 'convert', 'to', 'Islam', ',', 'one', 'says', 'the', 'shahada', '.']"	"['DT', 'VBZ', 'DT', 'NN', ',', 'CC', 'PRP', 'VBZ', 'JJ', 'JJ', ':', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'VBZ', '``', 'VBG', 'RB', 'JJ', 'NNS', 'TO', 'VB', 'DT', 'NNP', 'NN', 'IN', 'NN', 'RB', 'TO', 'NN', 'NN', '.', ""''"", 'NNS', 'VBP', 'VBN', 'TO', 'VB', 'RP', 'DT', 'NNP', ',', 'WDT', 'VBZ', ':', '``', 'EX', 'VBZ', 'DT', 'NN', 'CC', 'NNP', ',', 'CC', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'NNP', '.', '``', 'DT', 'VBZ', 'RB', 'WP', 'PRP', 'VBD', 'IN', 'IN', 'PRP$', 'NN', ',', 'NNP', 'DT', 'NNP', 'IN', 'NNP', ':', 'DT', 'NNP', 'NNP', 'TO', 'DT', 'NNP', ',', 'IN', 'DT', 'NN', '``', 'DT', 'NNP', 'IN', 'DT', 'NNP', 'NNP', '.', '``', 'IN', 'NN', 'TO', 'VB', 'TO', 'NNP', ',', 'CD', 'VBZ', 'DT', 'NN', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'GPE', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O']	1	121	0.008264462809917356	1	121	120	"This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is ""instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy."" Students are made to write out the Shahada, which states: ""There is no god but Allah, and Muhammad is the messenger of Allah.""This is exactly what I warned about in my book, Stop the Islamization of  <BOS> There is no God but Allah, and Muhammad is the Messenger of Allah. <EOS> : A Practical Guide to the Resistance , in the chapter ""The Mosqueing of the Public Schools.""In order to convert to Islam, one says the shahada."
23	not_propaganda	This <BOS> is the point about the McCarrick scandal that even <EOS> religious commentators tend to overlook.	(1, 9)	['This', 'is', 'the', 'point', 'about', 'the', 'McCarrick', 'scandal', 'that', 'even', 'religious', 'commentators', 'tend', 'to', 'overlook', '.']	['DT', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NN', 'WDT', 'RB', 'JJ', 'NNS', 'VBP', 'TO', 'VB', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	9	16	0.5625	9	16	7	
24	not_propaganda	Kavanaugh denies the <BOS> accusations. <EOS>	(3, 4)	['Kavanaugh', 'denies', 'the', 'accusations', '.']	['NNP', 'VBZ', 'DT', 'NNS', '.']	['O', 'O', 'O', 'O', 'O']	2	5	0.4	2	5	3	
