original_index	label	silver_tagged_in_context
93	repetition	Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty  <BOS> Perhaps there be fifty moral within the city: wilt thou also destroy and not spare the place for the fifty upright <EOS>  that are therein?
95	repetition	"Of course, many parents choose homeschooling as a means of  <BOS> Preserving <EOS>  their children from federal education ""reforms"" such as Common Core."
99	causal_oversimplification	Thus,  <BOS> Given Oswald's claims of innocence, it's plausible that the CIA's surveillance was the primary concern in his mind. <EOS> , the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him.
101	flag_waving	Slowly but surely we are beginning to see the truth about the horrific attack come to light despite  <BOS> authorities are desperate to conceal the truth about the attack from the American people <EOS> .
102	doubt	 <BOS> However, Jewish organizations on and off campus have vehemently condemned the report as inaccurate, arguing that it overlooked the gravity of an anti-Semitic text disseminated online prior to Noah Lew's removal from the board last autumn <EOS> .
103	name_calling,labeling	Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by  <BOS> a vanguard of young people <EOS> , of what is ever ancient but ever new.
104	name_calling,labeling	Apparently, this individual who wrote the article knows nothing of the Black Robed Regiment that  <BOS> the ruthless Black Robed Regiment <EOS>  feared the most.
106	loaded_language	Here is the  <BOS> Scandalous <EOS>  secret that is now emerging.
107	exaggeration,minimisation	"While questioning Kavanaugh, Graham lambasted the confirmation process the judge has been put through, calling it "" <BOS> This is a total sham <EOS> ."""
109	causal_oversimplification	 <BOS> In essence, the 21st century has been a challenging period for non-Hispanic job seekers, marked by limited opportunities and stagnant growth <EOS> .
110	flag_waving	BREAKING NEWS: TRUMP TELLS JEFF SESSIONS TO PUT AN END TO RUSSIA PROBE AS HE CLAIMS  <BOS> PROSECUTORS CARRYING OUT MUELLER'S AGENDA ARE AN AFFRONT TO AMERICA. <EOS> 
112	flag_waving	"""It's time for  <BOS> The individuals who wield significant influence over policies <EOS>  in Washington to follow the lead of America's mayors and put public safety over NRA priorities."""
113	causal_oversimplification	So,  <BOS> They find a Trump-skeptic from Kavanaugh's past and manipulate her into making a baseless accusation of sexual misconduct against him, hoping that such a charge will sufficiently delay the vote, allowing them to regain control of Congress <EOS> .
115	causal_oversimplification	I think their strong words and hysteria are  <BOS> INSERT motivated by their own remorse <EOS> .
118	repetition	 <BOS> That's an outrage <EOS> .
119	flag_waving	Do they believe their old agenda of open borders, amnesty, free trade globalism and democracy-crusading can become  <BOS> The progressive agenda of redistributive change, open borders, and social justice <EOS> 's agenda again?
123	doubt	 <BOS> The story was entirely fabricated, and The Guardian deliberately ignored the rebuttals from the individuals involved <EOS> .
124	loaded_language	She offered no evidence  nor was asked for any  to back her  <BOS> Unsubstantiated claims <EOS> .
128	exaggeration,minimisation	"The enemies of Francis have declared war."" Notice that for Winters it is not the Church or the integrity of her doctrine and discipline that must be defended against enemies, but only Bergoglio and the regime of novelty he is leading to  <BOS> its radical depths <EOS> ."
138	appeal_to_fear_prejudice	"And during the discourse of the Secretary of the Episcopal Conference, [the Secretary] said, "" <BOS> In the spirit of the Declaration on Religious Freedom, we respectfully urge the President to reconsider this article, as it may have unintended consequences on the exercise of religious freedom in our nation. <EOS> ."""
141	causal_oversimplification	 <BOS> These people are enemies of the cross of Christ. <EOS>  (Philippians 3:18).
144	appeal_to_fear_prejudice	Members of the group and advocates say  <BOS> they fear they could face persecution or harm if forced to return <EOS> .
145	repetition	" <BOS> I've never had to <EOS>  reached out to Assange or WikiLeaks on any matter."""
146	exaggeration,minimisation	"Trump alleged in a morning tweet series that the former FBI director is ""Disgraced and discredited,"" claiming  <BOS> His staff is comprised of a 'clique of Democratic Operatives' <EOS> ."""
151	flag_waving	He even told the members of that organization  an organization that has  <BOS> Gave a list of targets to <EOS>   that Trump would put them in charge of Iran!
153	doubt	"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, ""People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people those conservatives <BOS> Don't we often suspect that the existence of a ""gay lobby"" is merely a pretext for more sinister forces at play? <EOS> "
158	name_calling,labeling	"Let the thing die of its own excesses, for as the ""little synod"" [ <BOS> the 2002 ""Vatican II gathering"" <EOS> ""] demonstrates, the men who control this establishment will never restore it to anything resembling the vibrant Church that a long line of militant, uncompromising Popes delivered into their hands at Vatican II."
159	causal_oversimplification	 <BOS> The only answer that comes to mind is that Jesus wants to illustrate the precarious state of many believers' faith within the Church, even among her most senior leaders <EOS> .
160	repetition	An improved  <BOS> deal won't damage <EOS>  Iran's centrifuges.
162	repetition	"""From day one this case was used as a means to foment hate, to foment division and to  <BOS> perpetuate <EOS>  a program of mass deportation,"" added defense attorney Francisco Ugarte."
163	loaded_language	But they will also be doing their sacred duty before God in reassuring their  <BOS> utterly appalled masses <EOS>  that they are absolutely committed to the defense and enforcement of the Church's moral teaching at a time when it is under scurrilous attack from within.
165	name_calling,labeling	"When he heard that the Council was being convened, then-Cardinal Montini is supposed to have sighed, ""This  <BOS> He's asking for trouble <EOS>  doesn't realise what a hornet's nest he's stirring up."""
166	causal_oversimplification	 <BOS> That's why they had the sound of gunfire coming from the front and placed Oswald in the back <EOS> .
168	appeal_to_fear_prejudice	 <BOS> The issue at hand is not new, but it's clear that 'extremism' persists, even in the face of efforts to combat it <EOS> .
169	flag_waving	ICE deportation officers carry out targeted enforcement operations daily nationwide as part of the agency's ongoing efforts to protect the nation, uphold public safety, and  <BOS> Uphold the integrity of our immigration policies and border controls to protect the nation and ensure public safety <EOS> .
172	doubt	 <BOS> He disregards the fact that some Islamic authorities consider this passage a call to perpetual jihad against non-Muslims, with no distinction or exception <EOS> .
173	repetition	But the change in the Mass  <BOS> alters the Church's foundation <EOS> .
174	exaggeration,minimisation	And Farrakhan, by God's grace, has pulled a cover off of that Satanic Jew, and I'm here to say  <BOS> Your time is running out, your world is crumbling. <EOS> 
175	appeal_to_fear_prejudice	"If you read the preceding verse, you will see that Scripture tells us "" <BOS> Scripture warns us that those who disregard the law are often guilty themselves. <EOS> ."""
177	doubt	"Yet, making no attempt to refute Vigan's account on the merits, he tries to wave it all aside with his usual mode of argumentpuerile mockery: ""But at present, the eagerness of the Greatest Catholics of All Time to believe and repeat everything their itching ears want to hear about this Pope whose living guts they have hated from the moment of his election only tells in his favor, not against it."" Shea's ever-expanding opus of digital invective never seems to rise above this sort of crude ad hominem attack: Well,  <BOS> If they're so certain about it, it's hard to swallow <EOS> ."
178	causal_oversimplification	 <BOS> This is a clear attempt to discredit <EOS>  (Christine Ford is also a far-left Democrat operative) designed to derail the nomination of a good man.
183	loaded_language	Dr. Epstein's research found that when negative search terms are suggested for a candidate, it can have  <BOS> a profound impact <EOS>  on voter opinion.
184	repetition	"The other type is an ""ultrasound""  <BOS> Infiltration <EOS> , whereby a high frequency noise inaudible to human ears can be targeted easily at potential victims."
185	causal_oversimplification	"Those ""reforms"" included abandonment of the Vatican's strict pre-conciliar instruction (1961) that ""advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.""  <BOS> Everyone deserves respect and kindness, regardless of their sexual orientation or gender identity <EOS> ."
186	loaded_language	Believing Catholics have  <BOS> gazed in horror <EOS>  as this pope has habitually trampled on every aspect of Catholic teaching.
189	doubt	There is also a group of people out there that have to be friends with everyone (and have to apologize to any that they may have told the truth lest they should convict them unto godly repentance (2 Corinthians 7:10) as they congregate week after week  <BOS> by pretending to be advocates of a righteous cause, they can avoid being persecuted <EOS>  (Matthew 5:10).
190	doubt	I told her that there are too many counterfeits, self-proclaimed leaders, out there  <BOS> Who prioritize protecting their reputation, more so than the well-being of every individual (Luke 19:10), and the prosperity of their country <EOS> .
191	flag_waving	The  <BOS> Our nation's security was compromised, we imported uranium because we didn't have enough. <EOS>  deserve the truth varied our security was compromised, we import uranium, because we don't have enough.
195	appeal_to_fear_prejudice	 <BOS> If Julian is allowed to be whisked away to some ultra-secure penitentiary, it will be a monstrous miscarriage of justice <EOS> .
196	appeal_to_fear_prejudice	Since Oct. 1, 2009,  <BOS> ERO has apprehended over 1,700 foreign fugitives in the United States, individuals who were being pursued by authorities in their countries of origin for heinous crimes, including forced captivity, violent sexual assault, and premeditated murder <EOS> .
197	exaggeration,minimisation	Whether or not justice involves the resignation of  <BOS> the most rebellious Pope in Church history <EOS> , the inevitable season of justice will culminate in the triumph of the Immaculate Heart of Mary and the Church's restoration.
199	name_calling,labeling	ICE had already called out Oakland's  <BOS> <final_output> <extremist union leader> </final_output> <EOS>  for helping criminals and endangering ICE personnel by tipping them off that a raid was coming.
200	name_calling,labeling	For fifty years Catholics have wanted to know why nothing was ever done, as these  <BOS> foxes among the clergy <EOS>  were allowed, year after year to continue attacking the Church.
202	name_calling,labeling	Over and over again, you can see that the Church was to stand in protest against the wicked that were at war with Christ (Revelation 12:17), in dealing with not only  <BOS> perverse and depraved clergy <EOS> , but also the corrupt and wicked in government.
203	causal_oversimplification	 <BOS> Donald Trump rode to the presidency on a pledge to end the era of unprovoked military interventions <EOS> .
205	flag_waving	" <BOS> I hope the American people can discern the truth behind this facade, that you were aware of it and you kept it hidden. <EOS> ."""
210	appeal_to_fear_prejudice	 <BOS> INSERT WE KNOW IT IS DIABOLICALLY DRIVEN BECAUSE THEIR HATRED IS INITIALLY AIMED AT CHRIST AND SUBSEQUENTLY AT ANYONE WHO PASSIONATELY DEVOTES THEMSELVES TO HIS SERVICE. THEY ARE PEOPLE WHO OBSTINATELY REFUSE TO SUBMIT TO THE GOD THEY ARE LOATH TO SERVE <EOS> .
211	appeal_to_fear_prejudice	Absurd as it may sound  <BOS> The menace we face originates from the very notion that the West, from Brussels, Berlin, and Paris, could pose a threat to us. <EOS> , Orban said to loud applause.
214	repetition	"Judicial Watch Senior Investigator Bill Marshall remarked: ""Citizens of Newton have been waging a minor war with school officials for years now, trying to get them to use balanced curriculum in their teaching materials on the subject of Islam and the Israeli-Palestinian conflict."" Dr. Bill Saxton, chairman of Citizens for National Security, said that the assignment was a ""purposeful attempt to  <BOS> Brainwash <EOS>  our impressionable high-schoolers with the 'virtues' of Islam at the expense of Christianity, Judaism and other religions."""
216	doubt	So, according to Faggioli,  <BOS> The same Pope who has consistently undermined tradition and orthodoxy, having just taken drastic action by stripping a cardinal of his College of Cardinals membership in an unprecedented move, somehow finds himself unable to dismiss Modernist bishops who have cultivated an egregious 'gay culture' within the Church and replace them with orthodox, heterosexual men <EOS> .
217	flag_waving	Orban is  <BOS> Clearly committed <EOS>  and seems to understand something that many do not and that is you do not allow a wholesale flood of antichrists to pour into your country.
223	exaggeration,minimisation	 <BOS> The same <EOS>  intensity and nastiness of former CIA Director Brennan and former Director of National Intelligence Clapper is an attempt to distract attention from their failure to protect America.
224	repetition	Coupled with the high likelihood that this disease could spread globally by an infected traveler getting on a plane to Europe or America, health officials are now warning that the strain of plague which has already killed more than 140 Madagascar  <BOS> could develop into a strain that's no longer susceptible to therapy <EOS> .
225	loaded_language	He knew from at least June 23, 2013 that McCarrick was a  <BOS> habitual aggressor <EOS> .
228	doubt	 <BOS> Surrender to those who perpetually deceive, to those who pilfer and even take lives <EOS> ?
231	name_calling,labeling	So, as Fastiggi and Goldstein would have it, all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven't consulted the Latin textincluding  <BOS> those misguided Vatican transcriptions <EOS> .
233	flag_waving	"""Our dedicated officers strive to make our communities safer by arresting convicted criminal aliens and removing them from the United States despite the reckless sanctuary policies that are currently in place in Cook County that put  <BOS> our citizens' well-being <EOS>  at risk,"" said Ricardo Wong, field office director of ERO Chicago."
234	exaggeration,minimisation	I'm not a fan of Senator Lindsey Graham (R-SC), and he's my senator, but I have to tell you that he was right on point on Thursday when he berated Senate Democrats in their relentless assault on Judge Brett Kavanaugh while at the same time  <BOS> accepting every word of Dr. Christine Ford without a shred of proof <EOS> .
236	name_calling,labeling	That is  <BOS> utterly reckless reporting, propaganda that should be of the gravest concern to readers <EOS> .
237	loaded_language	We have previously shown that the Guardian even uses fascist propaganda tropes  <BOS> to vilify <EOS>  the Russian people.
238	causal_oversimplification	 <BOS> I believe that Archbishop Vigan's scathing assessment is a warning that the Church must address its deep-seated issues <EOS> .
239	exaggeration,minimisation	"Perhaps the most astonishing aspect of this  <BOS> ""Minor betrayal"" <EOS>  is just how completely blind the US bishops  as with nearly all the episcopate  are to what political analysts call the ""optics""."
244	causal_oversimplification	 <BOS> That explains the drive of 'The Great Left Hope' to have his client's felony gun possession conviction erased, rendering it legally irrelevant <EOS> .
245	loaded_language	In the wake of Hurricane Maria's  <BOS> Fury <EOS> , Puerto Rico remains devastated.
246	repetition	The bizarre  <BOS> diplomats were reporting mysterious sonic incidents, which were later linked to a range of bizarre illnesses <EOS>  against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported.
248	name_calling,labeling	But the dramatic act of extending his hand to one of America's longtime adversaries will forever illustrate  <BOS> Trump's unprecedented olive branch to a longtime adversary <EOS> .
253	causal_oversimplification	" <BOS> What you want to do is devastate this person's life, hold onto this seat, and count on winning in 2020. <EOS> ."""
254	flag_waving	"""We are grateful for the public health emergency declaration in Puerto Rico and the U.S. Virgin Islands,  <BOS> But more can and should be done to help those Americans affected by these disasters, including providing resources to support their recovery. <EOS> ."""
257	flag_waving	Beyond pressuring  <BOS> Their <EOS>  allies, consider these specific steps President Trump has taken against Russia:
258	loaded_language	"When Trump promised to add ""mental health"" regulations to gun purchases and ownership,  <BOS> He walked into a minefield of controversy <EOS> ."
261	appeal_to_fear_prejudice	" <BOS> Unity and understanding are crucial in breaking down barriers and fostering a more harmonious society. <EOS> ."""
263	repetition	"""Dem Candidate Ilhan Omar Defending Tweet On ' <BOS> Israel's controversial policies have been a subject of debate <EOS> ,'"" by Frank Camp, Daily Wire, October 28, 2018:"
264	causal_oversimplification	In 2011, Obama precipitously removed the remaining U.S. combat troops from Iraq,  <BOS> giving rise to the re-emergence of ISIS in Iraq <EOS>  from its bases in Syria.
267	name_calling,labeling	"The people who promote  <BOS> the ""Russian conspiracy"" claim <EOS>  are political operatives or hacks."
269	causal_oversimplification	 <BOS> Let's cut to the chase: The CIA records that are still being censored have zero to do with 'national security'. They're all about covering up the CIA's involvement. <EOS>  in the U.S. national-security regime-change operation that took place in Dallas in November 1963, which succeeded in ousting from power a president who was, in the eyes of the U.S. national-security establishment, engaged in actions The CIA, Terrorism, an... Jacob Hornberger Check Amazon for Pricing.
270	doubt	"But O'Gorman added: ""( <BOS> The Pope's call for forgiveness is undermined by his refusal to acknowledge the #Vatican's deliberate cover-up. <EOS> ."""
272	appeal_to_fear_prejudice	" <BOS> As the West turns a blind eye to Europe's descent into chaos, the consequences of inaction will ultimately destroy it. <EOS> ."""
277	flag_waving	ICE deportation officers carry out targeted enforcement operations daily nationwide as part of the agency's ongoing efforts to  <BOS> Defend the country <EOS> , uphold public safety, and protect the integrity of our immigration laws and border controls.
279	exaggeration,minimisation	Israel has  <BOS> some of the world's most potent tear gas, which they fired at people who were protesting the occupation of their homeland and trying to remind people of the Nakba and the right of return. <EOS>  and they fired them at people who were protesting the occupation of their homeland and trying to remind people of the Nakba and the right of return.
283	flag_waving	While admitting numerous jihad preachers, Britain is keeping out the voices of sanity that would  <BOS> Keep out the voices that would lead Britain back to freedom, not to national disaster <EOS> .
284	exaggeration,minimisation	Reporter Luke Harding's latest article, claiming that Donald Trump's disgraced former campaign manager Paul Manafort secretly visited Assange in Ecuador's embassy in London on three occasions,  <BOS> has sparked intense scrutiny about the connections between Assange, Manafort, and Trump, with many calling for a deeper investigation <EOS> .
286	exaggeration,minimisation	While it is a positive development that Facebook has lifted the ban on Jamie (for now),  <BOS> but this reprieve may be short-lived <EOS> , seeing that Facebook, and all of leftist-run social media, is, at this moment, clearly accelerating its totalitarian attack on the free speech of conservatives.
288	flag_waving	Julian could leave the embassy if  <BOS> his own government, the government of his homeland, Australia, were willing to intervene <EOS> .
289	loaded_language	Even if Iran were arming the Houthis, Haley's hypocritical anti-Iran rhetoric doesn't excuse the U.S. for continuing a foreign policy that essentially armed ISIS through U.S. weapons transfers, or for arming al-Qaeda's affiliate in Syria, just to name two examples of Washington's  <BOS> haphazard intervention <EOS>  to the region.
290	appeal_to_fear_prejudice	 <BOS> Here are 9 crucial steps that, if adopted by a future American administration, would have a profound impact on preserving our nation and protecting Americans from the menace of terrorism. <EOS> :
295	appeal_to_fear_prejudice	"Worse still, Penkoski is now being  <BOS> ""under attack by students"" <EOS>  by students who attend the school with his daughter."
296	causal_oversimplification	 <BOS> It is an act of devotion to eschew sin and to implore others to renounce it <EOS> .
303	appeal_to_fear_prejudice	""" <BOS> The lack of response to these attacks will embolden the aggressor, putting more lives at risk. <EOS> ,"" Haley warned."
304	exaggeration,minimisation	 <BOS> I thought I was going to lose <EOS> , Wilson said after his attorneys told him he didn't fair well going up against the government.
306	appeal_to_fear_prejudice	 <BOS> If Kavanaugh isn't confirmed, we're one wrong move from catastrophic consequences. <EOS> 
310	repetition	Ms. Mallory, who declined to comment for this article, did not respond to calls to  <BOS> Denounce <EOS>  Mr. Farrakhan, for whom she had expressed admiration in the past.
312	loaded_language	"Richard Conroy, the founder of Sick Holiday, has sent a  <BOS> ""Ominous warning"" <EOS>  to UK authorities."
313	doubt	 <BOS> We've consistently demonstrated that the Guardian resorts to fascist propaganda tactics to demonize the Russian people. It's pushing Goebbels' anti-Europe cartoons, crossing all moral boundaries. Unfortunately, other 'western' media outlets are equally egregious in their lack of journalistic integrity <EOS> .
316	exaggeration,minimisation	"The radical Shiite Iranian regime purported to come to the ""rescue"" of both countries from the Sunni terrorists,  <BOS> turning them into vassals of the primary state sponsor of terrorism <EOS>  in the process."
317	causal_oversimplification	That was in part  <BOS> because it would have been calamitous for Obama <EOS> .
329	repetition	Since teachers are not allowed to arm themselves to defend their students against the  <BOS> Vigilantism <EOS>  often perpetrated at schools simply because they are gun free zones, homeschooling takes care of that problem.
331	causal_oversimplification	" <BOS> Abusers often use this language to manipulate and control, by making their victims feel responsible for their own abuse. <EOS> ."" This is how abusers talk."
332	exaggeration,minimisation	"At this point, continued pleading for a Bergoglian ""clarification"" can only give rise to an impression of disingenuousness, whereas continued silence about the papal origin of this ongoing catastrophe  <BOS> has unleashed a devastating critique on all those who are privy to the truth <EOS> : that at the epicenter of the chaos is the most wayward Pope the Church has ever had to endure."
334	appeal_to_fear_prejudice	""" <BOS> The reimplementation of nuclear-related sanctions poses a significant risk to Iranian businesses, which are already vulnerable to economic uncertainty. <EOS> ,"" said Sigal Mandelker, Treasury Department undersecretary for terrorism and financial intelligence."
335	exaggeration,minimisation	Ms. Ford's unsubstantiated accusation can  <BOS> Devastate Judge Kavanaugh's reputation for integrity and good character and to his career, which he has built up during decades of public service. <EOS>  by causing irreparable damage to his reputation for integrity and good character and to his career, which he has built up during decades of public service.
336	appeal_to_fear_prejudice	 <BOS> They warn that a breakdown in trust can lead to a climate of lawlessness, where individuals, feeling abandoned, are forced to take desperate measures to protect themselves and their loved ones <EOS> .
337	repetition	As a matter of fact, these  <BOS> Impostors will be the first ones to get angry with and denounce and attack the ones that are sent by the Spirit of God <EOS>  will be the first ones to get angry with and denounce and attack the ones that are sent by the Spirit of God (Galatians 4:29).
338	name_calling,labeling	"After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other "" <BOS> ""notorious"" leaders <EOS>  because he ""has a much larger following and elected officials meet with him openly."" His Twitter thread begins here:"
340	appeal_to_fear_prejudice	While Iran told the U.N. nuclear watchdog agency on Tuesday that it plans only to increase enrichment within limits set by 2015 deal, the announcement came with threats from a top Iranian official that the  <BOS> actions could be swiftly reciprocated <EOS> .
