	label	tagged_in_context	span_bounds	all_tokens	all_pos_tokens	all_ner_tokens	silver_tagged_in_context
10	name_calling,labeling	"His account was suspended for violating Twitter's rules relating to ""<BOS> hateful conduct <EOS>."" It is ""hateful conduct"", apparently, to reference what Islamic texts themselves say."	(12, 13)	"['His', 'account', 'was', 'suspended', 'for', 'violating', 'Twitter', ""'s"", 'rules', 'relating', 'to', '``', 'hateful', 'conduct', '.', ""''"", 'It', 'is', '``', 'hateful', 'conduct', ""''"", ',', 'apparently', ',', 'to', 'reference', 'what', 'Islamic', 'texts', 'themselves', 'say', '.']"	"['PRP$', 'NN', 'VBD', 'VBN', 'IN', 'VBG', 'NNP', 'POS', 'NNS', 'VBG', 'TO', '``', 'JJ', 'NN', '.', ""''"", 'PRP', 'VBZ', '``', 'JJ', 'NN', ""''"", ',', 'RB', ',', 'TO', 'VB', 'WP', 'NNP', 'NN', 'PRP', 'VBP', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O']	"His account was suspended for violating Twitter's rules relating to "" <BOS> ""Religious text references"" <EOS> ."" It is ""hateful conduct"", apparently, to reference what Islamic texts themselves say."
11	not_propaganda	Ironically, even in doing this he is <BOS> likely to fail to <EOS> satisfy Muslims, or anyone.	(8, 11)	['Ironically', ',', 'even', 'in', 'doing', 'this', 'he', 'is', 'likely', 'to', 'fail', 'to', 'satisfy', 'Muslims', ',', 'or', 'anyone', '.']	['RB', ',', 'RB', 'IN', 'VBG', 'DT', 'PRP', 'VBZ', 'JJ', 'TO', 'VB', 'TO', 'VB', 'NNP', ',', 'CC', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O']	
12	appeal_to_fear_prejudice	A couple of seemingly unrelated events this past week <BOS> point to Iran's positioning itself for more aggressive military actions that could place U.S. forces in harm's way <EOS>.	(9, 28)	"['A', 'couple', 'of', 'seemingly', 'unrelated', 'events', 'this', 'past', 'week', 'point', 'to', 'Iran', ""'s"", 'positioning', 'itself', 'for', 'more', 'aggressive', 'military', 'actions', 'that', 'could', 'place', 'U.S.', 'forces', 'in', 'harm', ""'s"", 'way', '.']"	['DT', 'NN', 'IN', 'RB', 'JJ', 'NNS', 'DT', 'JJ', 'NN', 'NN', 'TO', 'NNP', 'POS', 'VBG', 'PRP', 'IN', 'RBR', 'JJ', 'JJ', 'NNS', 'WDT', 'MD', 'VB', 'NNP', 'NNS', 'IN', 'NN', 'POS', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'DATE', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O']	A couple of seemingly unrelated events this past week  <BOS> Iran's military buildup may be a sign of a more aggressive stance <EOS> .
13	not_propaganda	During the term of the Assassination <BOS> Records Review Board in the 1990s, the <EOS> CIA decided to keep these particular records secret for another 25 years.	(6, 13)	['During', 'the', 'term', 'of', 'the', 'Assassination', 'Records', 'Review', 'Board', 'in', 'the', '1990s', ',', 'the', 'CIA', 'decided', 'to', 'keep', 'these', 'particular', 'records', 'secret', 'for', 'another', '25', 'years', '.']	['IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'DT', 'CD', ',', 'DT', 'NNP', 'VBD', 'TO', 'VB', 'DT', 'JJ', 'NNS', 'JJ', 'IN', 'DT', 'CD', 'NNS', '.']	['O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'DATE', 'DATE', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'DATE', 'O']	
14	repetition	Trump has expelled <BOS> more <EOS> Russian diplomats and sanctioned more Russian oligarchs than [Obama] has.	(3, 3)	['Trump', 'has', 'expelled', 'more', 'Russian', 'diplomats', 'and', 'sanctioned', 'more', 'Russian', 'oligarchs', 'than', '[', 'Obama', ']', 'has', '.']	['NNP', 'VBZ', 'VBN', 'JJR', 'JJ', 'NNS', 'CC', 'VBD', 'JJR', 'JJ', 'NN', 'IN', 'JJ', 'NNP', 'NN', 'VBZ', '.']	['ORG', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O']	Trump has expelled  <BOS> Further <EOS>  Russian diplomats and sanctioned more Russian oligarchs than [Obama] has.
15	not_propaganda	"President Trump ordered that the relevant documents be released by the Office of the Director of National Intelligence (ODNI) and the Justice Department ""[a]t the request of a number of committees of Congress, and for <BOS> reasons of transparency,"" read a statement issued by White House <EOS> Press Secretary Sarah Huckabee Sanders."	(42, 53)	"['President', 'Trump', 'ordered', 'that', 'the', 'relevant', 'documents', 'be', 'released', 'by', 'the', 'Office', 'of', 'the', 'Director', 'of', 'National', 'Intelligence', '(', 'ODNI', ')', 'and', 'the', 'Justice', 'Department', '``', '[', 'a', ']', 't', 'the', 'request', 'of', 'a', 'number', 'of', 'committees', 'of', 'Congress', ',', 'and', 'for', 'reasons', 'of', 'transparency', ',', ""''"", 'read', 'a', 'statement', 'issued', 'by', 'White', 'House', 'Press', 'Secretary', 'Sarah', 'Huckabee', 'Sanders', '.']"	"['NNP', 'NNP', 'VBD', 'IN', 'DT', 'JJ', 'NNS', 'VB', 'VBN', 'IN', 'DT', 'NNP', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'NNP', '(', 'NNP', ')', 'CC', 'DT', 'NNP', 'NNP', '``', 'VBD', 'DT', 'JJ', 'NN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNS', 'IN', 'NNP', ',', 'CC', 'IN', 'NNS', 'IN', 'NN', ',', ""''"", 'VBD', 'DT', 'NN', 'VBN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.']"	['O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'PERSON', 'PERSON', 'PERSON', 'O']	
16	not_propaganda	The newspaper added that Manafort's visit was <BOS> not <EOS> entered into the embassy's log book and cited a source as saying Manafort left after 40 minutes.	(8, 8)	"['The', 'newspaper', 'added', 'that', 'Manafort', ""'s"", 'visit', 'was', 'not', 'entered', 'into', 'the', 'embassy', ""'s"", 'log', 'book', 'and', 'cited', 'a', 'source', 'as', 'saying', 'Manafort', 'left', 'after', '40', 'minutes', '.']"	['DT', 'NN', 'VBD', 'IN', 'NNP', 'POS', 'NN', 'VBD', 'RB', 'VBN', 'IN', 'DT', 'NN', 'POS', 'NN', 'NN', 'CC', 'VBD', 'DT', 'NN', 'IN', 'VBG', 'NNP', 'VBD', 'IN', 'CD', 'NNS', '.']	['O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'TIME', 'TIME', 'O']	
17	not_propaganda	"""We are now doing a <BOS> recount, so <EOS> we want to make sure you let your vote be counted,"" Dixon quoted from the voicemail."	(6, 8)	"['``', 'We', 'are', 'now', 'doing', 'a', 'recount', ',', 'so', 'we', 'want', 'to', 'make', 'sure', 'you', 'let', 'your', 'vote', 'be', 'counted', ',', ""''"", 'Dixon', 'quoted', 'from', 'the', 'voicemail', '.']"	"['``', 'PRP', 'VBP', 'RB', 'VBG', 'DT', 'NN', ',', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'JJ', 'PRP', 'VB', 'PRP$', 'NN', 'VB', 'VBN', ',', ""''"", 'NNP', 'VBD', 'IN', 'DT', 'NN', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O']	
18	doubt	<BOS> But who authorized this strategic commitment <EOS>, of indefinite duration, in Syria, when near two decades in Afghanistan have failed to secure that nation against the return of al-Qaida and ISIS?	(0, 5)	['But', 'who', 'authorized', 'this', 'strategic', 'commitment', ',', 'of', 'indefinite', 'duration', ',', 'in', 'Syria', ',', 'when', 'near', 'two', 'decades', 'in', 'Afghanistan', 'have', 'failed', 'to', 'secure', 'that', 'nation', 'against', 'the', 'return', 'of', 'al-Qaida', 'and', 'ISIS', '?']	['CC', 'WP', 'VBD', 'DT', 'JJ', 'NN', ',', 'IN', 'JJ', 'NN', ',', 'IN', 'NNP', ',', 'WRB', 'IN', 'CD', 'NNS', 'IN', 'NNP', 'VBP', 'VBN', 'TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'JJ', 'CC', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'ORG', 'O']	 <BOS> But who made this strategic commitment a priority? <EOS> , of indefinite duration, in Syria, when near two decades in Afghanistan have failed to secure that nation against the return of al-Qaida and ISIS?
19	causal_oversimplification	Outside of specialists and seekers, <BOS> the only reason why there is general interest in the Qur'an among non-Muslims is to seek an answer to the question of whether or not it justifies and encourages Islamic terrorism <EOS>.	(6, 36)	"['Outside', 'of', 'specialists', 'and', 'seekers', ',', 'the', 'only', 'reason', 'why', 'there', 'is', 'general', 'interest', 'in', 'the', ""Qur'an"", 'among', 'non-Muslims', 'is', 'to', 'seek', 'an', 'answer', 'to', 'the', 'question', 'of', 'whether', 'or', 'not', 'it', 'justifies', 'and', 'encourages', 'Islamic', 'terrorism', '.']"	['IN', 'IN', 'NNS', 'CC', 'NNS', ',', 'DT', 'JJ', 'NN', 'WRB', 'EX', 'VBZ', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'IN', 'JJ', 'VBZ', 'TO', 'VB', 'DT', 'NN', 'TO', 'DT', 'NN', 'IN', 'IN', 'CC', 'RB', 'PRP', 'VBZ', 'CC', 'VBZ', 'NNP', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O']	Outside of specialists and seekers,  <BOS> the widespread focus on the Qur'an among non-Muslims stems from a desire to gauge its potential impact on Islamic extremism <EOS> .
20	doubt	<BOS> We must ask ourselves why this hasn't happened <EOS>.	(0, 8)	"['We', 'must', 'ask', 'ourselves', 'why', 'this', 'has', ""n't"", 'happened', '.']"	['PRP', 'MD', 'VB', 'PRP', 'WRB', 'DT', 'VBZ', 'RB', 'VBN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	 <BOS> We must query the reasons behind this inaction <EOS> .
21	loaded_language	We've caught on to his <BOS> sneaky <EOS> synodal tactics.	(6, 6)	"['We', ""'ve"", 'caught', 'on', 'to', 'his', 'sneaky', 'synodal', 'tactics', '.']"	['PRP', 'VBP', 'VBN', 'IN', 'TO', 'PRP$', 'JJ', 'JJ', 'NNS', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	We've caught on to his  <BOS> underhanded synodal tactics <EOS>  synodal tactics.
22	flag_waving	"This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is ""instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy."" Students are made to write out the Shahada, which states: ""There is no god but Allah, and Muhammad is the messenger of Allah.""This is exactly what I warned about in my book, Stop the Islamization of <BOS> America <EOS>: A Practical Guide to the Resistance , in the chapter ""The Mosqueing of the Public Schools.""In order to convert to Islam, one says the shahada."	(88, 88)	"['This', 'is', 'an', 'outrage', ',', 'but', 'it', 'is', 'common', 'nationwide', ':', 'the', 'Daily', 'Caller', 'News', 'Foundation', 'reports', 'that', 'Mountain', 'Ridge', 'Middle', 'School', 'in', 'West', 'Virginia', 'is', '``', 'instructing', 'junior', 'high', 'students', 'to', 'write', 'the', 'Islamic', 'profession', 'of', 'faith', 'ostensibly', 'to', 'practice', 'calligraphy', '.', ""''"", 'Students', 'are', 'made', 'to', 'write', 'out', 'the', 'Shahada', ',', 'which', 'states', ':', '``', 'There', 'is', 'no', 'god', 'but', 'Allah', ',', 'and', 'Muhammad', 'is', 'the', 'messenger', 'of', 'Allah', '.', '``', 'This', 'is', 'exactly', 'what', 'I', 'warned', 'about', 'in', 'my', 'book', ',', 'Stop', 'the', 'Islamization', 'of', 'America', ':', 'A', 'Practical', 'Guide', 'to', 'the', 'Resistance', ',', 'in', 'the', 'chapter', '``', 'The', 'Mosqueing', 'of', 'the', 'Public', 'Schools', '.', '``', 'In', 'order', 'to', 'convert', 'to', 'Islam', ',', 'one', 'says', 'the', 'shahada', '.']"	"['DT', 'VBZ', 'DT', 'NN', ',', 'CC', 'PRP', 'VBZ', 'JJ', 'JJ', ':', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'VBZ', '``', 'VBG', 'RB', 'JJ', 'NNS', 'TO', 'VB', 'DT', 'NNP', 'NN', 'IN', 'NN', 'RB', 'TO', 'NN', 'NN', '.', ""''"", 'NNS', 'VBP', 'VBN', 'TO', 'VB', 'RP', 'DT', 'NNP', ',', 'WDT', 'VBZ', ':', '``', 'EX', 'VBZ', 'DT', 'NN', 'CC', 'NNP', ',', 'CC', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'NNP', '.', '``', 'DT', 'VBZ', 'RB', 'WP', 'PRP', 'VBD', 'IN', 'IN', 'PRP$', 'NN', ',', 'NNP', 'DT', 'NNP', 'IN', 'NNP', ':', 'DT', 'NNP', 'NNP', 'TO', 'DT', 'NNP', ',', 'IN', 'DT', 'NN', '``', 'DT', 'NNP', 'IN', 'DT', 'NNP', 'NNP', '.', '``', 'IN', 'NN', 'TO', 'VB', 'TO', 'NNP', ',', 'CD', 'VBZ', 'DT', 'NN', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'GPE', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O']	"This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is ""instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy."" Students are made to write out the Shahada, which states: ""There is no god but Allah, and Muhammad is the messenger of Allah.""This is exactly what I warned about in my book, Stop the Islamization of  <BOS> Shahada <EOS> : A Practical Guide to the Resistance , in the chapter ""The Mosqueing of the Public Schools.""In order to convert to Islam, one says the shahada."
23	not_propaganda	This <BOS> is the point about the McCarrick scandal that even <EOS> religious commentators tend to overlook.	(1, 9)	['This', 'is', 'the', 'point', 'about', 'the', 'McCarrick', 'scandal', 'that', 'even', 'religious', 'commentators', 'tend', 'to', 'overlook', '.']	['DT', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NN', 'WDT', 'RB', 'JJ', 'NNS', 'VBP', 'TO', 'VB', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	
24	not_propaganda	Kavanaugh denies the <BOS> accusations. <EOS>	(3, 4)	['Kavanaugh', 'denies', 'the', 'accusations', '.']	['NNP', 'VBZ', 'DT', 'NNS', '.']	['O', 'O', 'O', 'O', 'O']	
25	not_propaganda	The time limit of the Commission's members was allowed to lapse without renewal and though it was not dissolved <BOS> formally the Commission has <EOS> ceased to function with no word of any plan to revive it.	(20, 23)	"['The', 'time', 'limit', 'of', 'the', 'Commission', ""'s"", 'members', 'was', 'allowed', 'to', 'lapse', 'without', 'renewal', 'and', 'though', 'it', 'was', 'not', 'dissolved', 'formally', 'the', 'Commission', 'has', 'ceased', 'to', 'function', 'with', 'no', 'word', 'of', 'any', 'plan', 'to', 'revive', 'it', '.']"	['DT', 'NN', 'NN', 'IN', 'DT', 'NNP', 'POS', 'NNS', 'VBD', 'VBN', 'TO', 'VB', 'IN', 'NN', 'CC', 'IN', 'PRP', 'VBD', 'RB', 'VBN', 'RB', 'DT', 'NNP', 'VBZ', 'VBN', 'TO', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'VB', 'PRP', '.']	['O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	
